18-226A,57,7,1095,19.21052632
18-230B,5,1,300,60
18-230B,12.5,3,840,67.2
18-230B,12.49999976,5,1110,88.80000169
18-233B,10,1,420,42
18-233B,6,3,405,67.5
18-233B,4,5,225,56.25
18-234B,5,1,150,30
18-234B,10,3,465,46.5
18-235B,10,1,300,30
18-235B,10,3,570,57
18-236B,6,1,180,30
18-236B,6,3,270,45
18-237B,4,3,180,45
18-237B,10.29999995,5,210,20.38834961
18-237B,8,7,0,0
18-238B,4,3,180,45
18-238B,4,5,240,60
18-239B,6,1,180,30
18-239B,12,3,690,57.5
18-240B,3,1,90,30
18-240B,6,3,360,60
18-241B,8,1,240,30
18-241B,8,3,480,60
18-242B,2,1,60,30
18-242B,2.800000012,3,120,42.85714267
18-245B,6,1,180,30
18-245B,13,3,690,53.07692308
18-245B,4,5,240,60
18-246B,4,3,150,37.5
18-246B,4,5,240,60
18-247B,4,1,180,45
18-247B,10,3,375,37.5
18-247B,6,5,630,105
18-248B,3,3,45,15
18-248B,3,5,180,60
18-249B,26,3,1025,39.42307692
18-249B,9,5,435,48.33333333
18-251B,4.5,1,90,20
18-251B,12,3,750,62.5
18-251B,7.5,5,480,64
18-252B,6,1,180,30
18-252B,6,3,360,60
18-252B,6,5,360,60
18-253B,4,3,210,52.5
18-253B,4,5,360,90
18-255B,4,1,120,30
18-255B,4,3,210,52.5
18-256B,4,3,120,30
18-256B,4.300000072,5,315,73.25581273
18-257A,7,1,210,30
18-257A,5,3,600,120
18-257A,4.999999881,5,920,184.0000044
18-257A,0,7,0,\N
18-258A,10.39999998,1,720,69.23076939
18-258A,5.600000024,3,660,117.8571424
18-258A,2.999999911,5,465,155.0000046
18-260B,6,3,240,40
18-260B,6.599999905,5,405,61.36363725
18-261B,5,3,150,30
18-261B,5,5,180,36
18-262B,4,3,75,18.75
18-262B,4.699999988,5,300,63.8297874
18-264B,4,1,120,30
18-264B,9,3,345,38.33333333
18-264B,5,5,240,48
18-265B,6,1,120,20
18-265B,6,3,180,30
18-268B,1,1,30,30
18-268B,3,3,135,45
18-268B,3.00000006,5,205,68.33333198
18-271B,4,3,270,67.5
18-271B,4,5,270,67.5
18-272B,5,3,300,60
18-272B,5,5,390,78
18-273B,4,3,120,30
18-273B,5,5,300,60
18-275B,1,1,30,30
18-275B,7,3,300,42.85714286
18-279A,67,1,2100,31.34328358
18-280A,40,1,1260,31.5
18-280A,1,3,30,30
18-282A,143,1,2760,19.3006993
18-282A,96,3,930,9.6875
18-282A,119,5,660,5.546218487
18-283A,121,1,2490,20.5785124
18-283A,144,3,960,6.666666667
18-283A,120,5,510,4.25
18-285A,20,3,270,13.5
18-285A,20,5,430,21.5
18-286A,3,1,90,30
18-286A,3,3,540,180
18-286A,2.5,5,180,72
18-287A,3,1,90,30
18-287A,3.00000006,3,525,174.9999965
