110|35-023|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$44.17
111|35-038|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$22.97
112|35-039|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$22.97
113|35-026|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$69.80
114|35-027|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$69.80
115|35-020|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$30.92
116|35-021|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$30.92
117|35-044A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.77
118|35-045A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.77
119|35-064|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$40.01
120|35-065|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$40.01
121|35-076|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$28.88
122|35-056|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$796.55
123|35-057|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$796.55
124|35-058|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$651.45
125|35-059|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$651.45
126|35-062|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$430.05
127|35-063|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$201.60
128|35-068|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$395.59
129|35-069|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$275.50
130|35-071|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$158.39
131|35-072|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$77.63
132|35-073|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$77.63
133|35-074|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$31.05
134|35-075|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$31.05
135|30-001A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$196.49
136|30-002A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$196.49
137|30-003|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$401.49
138|30-004|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$401.49
139|30-005A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$629.98
140|30-006A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$629.98
141|30-007|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$808.05
142|30-008|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$808.05
143|30-110|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$2052.07
144|30-111|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$2052.07
145|30-011A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1925.15
146|30-012A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1925.15
147|30-013|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1803.94
148|30-014|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1803.94
149|30-015|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1939.23
150|30-016|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1939.23
151|30-017A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1961.78
152|30-018A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1961.78
153|30-019|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$880.31
154|30-020|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$707.05
155|30-021|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$707.05
156|30-022A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$667.45
157|30-023A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$667.45
158|30-108|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1596.45
159|30-109|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$1596.45
160|30-030A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$880.31
161|30-031|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$516.20
162|30-032|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$516.20
163|30-033A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$909.84
164|30-034A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$909.84
165|30-112|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$909.84
166|30-113|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$909.84
167|30A-080|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$136.74
168|30A-081|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$136.74
169|30A-082|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$121.05
170|30A-083|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$126.67
171|30A-084|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$126.67
172|30A-085|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$105.07
173|30A-087|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$86.38
174|30A-089|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$99.61
175|30-093|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$86.45
176|30-094|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$86.45
177|30-095|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$116.42
178|30-096|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$116.42
1|35-030|Primary spec|All Metals Services|$1139.81
2|35-031|Primary spec|All Metals Services|$1139.81
3|35-018|Primary spec|All Metals Services|$72.39
4|35-019|Primary spec|All Metals Services|$72.39
5|35-042|Primary spec|All Metals Services|$72.42
6|35-043|Primary spec|All Metals Services|$72.42
7|35-085|Primary spec|All Metals Services|$141.06
8|35-086|Primary spec|All Metals Services|$141.06
9|35-064|Primary spec|All Metals Services|$41.53
10|35-065|Primary spec|All Metals Services|$41.53
11|35-066|Primary spec|All Metals Services|$978.45
12|35-067|Primary spec|All Metals Services|$978.45
13|35A-082|Primary spec|All Metals Services|$3524.03
14|18-075A|Primary spec|All Metals Services|$100.04
15|18-076A|Primary spec|All Metals Services|$179.11
16|18-077A|Primary spec|All Metals Services|$224.51
17|18-078A|Primary spec|All Metals Services|$147.51
18|18-097B|Primary spec|All Metals Services|$184.26
19|18-107B|Primary spec|All Metals Services|$11.46
